cell,cycle_life,charge_policy,cycle,IR,QC,QD,Tavg,Tmin,Tmax,chargetime
27,468,4.9C(27%)-4.75C,1.0,0.017651217,1.0625434,1.0623763,32.04948863833333,29.921144,35.318157,10.105126666666669
27,468,4.9C(27%)-4.75C,2.0,0.017624324,1.0656146,1.065841,31.63171959883724,29.155989,34.834587,10.180821666666695
27,468,4.9C(27%)-4.75C,3.0,0.017648097,1.0671675,1.0674493,31.872206438297884,29.92749,35.285965,10.097465000000133
27,468,4.9C(27%)-4.75C,4.0,0.01754646,1.068163,1.0684859,32.159023695435764,29.875677,35.496456,10.18083666666668
27,468,4.9C(27%)-4.75C,5.0,0.017549558,1.0682156,1.0684742,31.798184733613358,29.530947,35.2393,10.180583333333198
27,468,4.9C(27%)-4.75C,6.0,0.017457902,1.0689155,1.0691681,32.04458061258287,30.110874,35.507721,10.097340000000015
27,468,4.9C(27%)-4.75C,7.0,0.017382775,1.0693796,1.0696776,32.14925096652719,30.057785,35.427116,10.180688333333334
27,468,4.9C(27%)-4.75C,8.0,0.01752748,1.0691452,1.0693904,31.723528448019916,29.518827,35.147617,10.097485000000113
27,468,4.9C(27%)-4.75C,9.0,0.017376665,1.069657,1.0698885,31.999635180017258,29.995785,35.435596,10.097096666666523
27,468,4.9C(27%)-4.75C,10.0,0.017341252,1.0699565,1.0701967,32.059848204081675,29.883444,35.429817,10.180809999999958
27,468,4.9C(27%)-4.75C,11.0,0.017465845,1.0695939,1.0698814,31.655206919758424,29.782406,35.399467,10.180679999999848
27,468,4.9C(27%)-4.75C,12.0,0.017283775,1.0701272,1.0703263,31.964329181281652,30.137308,35.229477,10.18050666666677
27,468,4.9C(27%)-4.75C,13.0,0.017230649,1.0702394,1.0704838,31.87953979668051,30.000051,34.790802,10.180638333333384
27,468,4.9C(27%)-4.75C,14.0,0.017428504,1.0701095,1.0691625,31.68029283221474,29.786951,35.232098,10.097250000000107
27,468,4.9C(27%)-4.75C,15.0,0.017299715,1.0704476,1.0707169,32.039855534883856,29.987732,35.476627,10.097061666666558
27,468,4.9C(27%)-4.75C,16.0,0.017259318,1.0705541,1.0707318,31.924143210657753,29.840811,34.871681,10.180559999999726
27,468,4.9C(27%)-4.75C,17.0,0.017367864,1.0704985,1.070737,31.83480627085062,29.979876,35.557522,10.097090000000026
27,468,4.9C(27%)-4.75C,18.0,0.017241443,1.0707275,1.0709391,32.149292309584396,30.162161,35.486008,10.097490000000107
27,468,4.9C(27%)-4.75C,19.0,0.017297722,1.0708237,1.0710849,31.886120887217924,29.367002,34.99831,10.180673333333592
27,468,4.9C(27%)-4.75C,20.0,0.017338777,1.0707767,1.0710373,31.955534453310655,30.050119,35.457012,10.097228333333138
27,468,4.9C(27%)-4.75C,21.0,0.017275253,1.0709943,1.0712254,32.170502519166774,30.016184,35.621067,10.180611666666907
27,468,4.9C(27%)-4.75C,22.0,0.017279895,1.0707012,1.0709317,31.871692274030277,29.229202,35.126556,10.09751666666707
27,468,4.9C(27%)-4.75C,23.0,0.017364213,1.0707797,1.0710566,31.888710033927055,29.81834,35.511131,10.097568333333765
27,468,4.9C(27%)-4.75C,24.0,0.017278796,1.0710068,1.0712376,32.07690671522633,29.953009,35.697521,10.180663333333602
27,468,4.9C(27%)-4.75C,25.0,0.01730708,1.0705104,1.0707746,31.648847717299553,29.368658,35.239342,10.097328333333037
27,468,4.9C(27%)-4.75C,26.0,0.017296014,1.0710086,1.0713295,31.949275617161668,29.947363,35.670826,10.097574999999779
27,468,4.9C(27%)-4.75C,27.0,0.017239496,1.0712481,1.0714974,32.17161718861514,30.145718,35.939972,10.097080000000036
27,468,4.9C(27%)-4.75C,28.0,0.017452534,1.0706942,1.0709411,31.679480990082578,29.531317,35.405045,10.097420000000177
27,468,4.9C(27%)-4.75C,29.0,0.017295392,1.0711073,1.0713613,32.0485829832775,30.026075,35.721882,10.09734166666652
27,468,4.9C(27%)-4.75C,30.0,0.017301772,1.0712447,1.0714658,32.17139468473733,30.055101,35.853306,10.180703333333561
27,468,4.9C(27%)-4.75C,31.0,0.017416753,1.0707657,1.0710229,31.786714664952846,29.748224,35.657341,10.097241666666621
27,468,4.9C(27%)-4.75C,32.0,0.017245514,1.0711679,1.0713884,32.1305641196293,30.277555,35.724957,10.097566666667019
27,468,4.9C(27%)-4.75C,33.0,0.017234718,1.0711492,1.071363,32.02484019746834,29.971813,35.069271,10.097581666666763
27,468,4.9C(27%)-4.75C,34.0,0.017403413,1.0709618,1.0712775,31.85911972198825,30.093655,35.660027,10.097408333332957
27,468,4.9C(27%)-4.75C,35.0,0.01722529,1.0711201,1.0713358,32.09138735229198,29.917881,35.356899,10.097369999999744
27,468,4.9C(27%)-4.75C,36.0,0.017300442,1.0712394,1.0714855,31.92657639090142,29.785782,34.901703,10.180438333333102
