cell,cycle_life,charge_policy,cycle,IR,QC,QD,Tavg,Tmin,Tmax,chargetime
7,663,80%)-3.6C,1.0,0.017099461,1.0198535,1.0219246,31.933289952202475,29.526484,35.956108,13.374584999999994
7,663,80%)-3.6C,2.0,0.016932283,1.023291,1.0233371,32.37565138139532,30.194252,36.831333,13.426166666666662
7,663,80%)-3.6C,3.0,0.017012727,1.0228419,1.022903,32.06390549418602,28.602446,35.226479,13.341276666666635
7,663,80%)-3.6C,4.0,0.017130297,1.0233152,1.0234387,31.43476554394078,29.024706,36.057846,13.425628333333346
7,663,80%)-3.6C,5.0,0.016995605,1.023703,1.0237931,32.386926475530935,29.787228,36.640736,13.426064999999957
7,663,80%)-3.6C,6.0,0.016669475,1.0236007,1.0237722,32.76898456792443,30.035915,36.424503,13.425661666666686
7,663,80%)-3.6C,7.0,0.017270911,1.0231121,1.0231981,31.02313711017738,28.538107,35.25486,13.426241666666646
7,663,80%)-3.6C,8.0,0.017023169,1.0235803,1.0237292,32.09951587593291,29.768784,36.627121,13.42578333333331
7,663,80%)-3.6C,9.0,0.016784396,1.0240122,1.024101,32.88504521305174,29.978403,36.689373,13.341520000000067
7,663,80%)-3.6C,10.0,0.01669156,1.0230194,1.0234103,31.5302367903075,28.617756,35.54147,13.425833333333381
7,663,80%)-3.6C,11.0,0.017180622,1.0228596,1.0231421,32.037963967961126,29.193565,36.735023,13.342609999999938
7,663,80%)-3.6C,12.0,0.016789604,1.0229965,1.0231016,32.302539335260136,29.718987,35.690239,13.341233333333367
7,663,80%)-3.6C,13.0,0.017006593,1.0231482,1.0231484,32.13905239350516,30.218302,35.237511,13.426871666666678
7,663,80%)-3.6C,14.0,0.017293215,1.0222615,1.0223714,31.43648295018801,28.55303,36.081631,13.340745
7,663,80%)-3.6C,15.0,0.016840281,1.0222025,1.0223589,32.27146706588009,30.038294,35.966003,13.341200000000025
7,663,80%)-3.6C,16.0,0.017190408,1.022696,1.0228826,32.61413126275264,29.43017,37.61124,13.42541333333332
7,663,80%)-3.6C,17.0,0.017371947,1.0219109,1.0219089,31.43212677649331,28.349653,35.420151,13.341770000000057
7,663,80%)-3.6C,18.0,0.017099725,1.0222584,1.0224375,32.2346943336529,29.929615,36.782841,13.425628333333346
7,663,80%)-3.6C,19.0,0.016875925,1.0220501,1.0220283,33.06903787231972,29.743299,37.956104,13.42571666666651
7,663,80%)-3.6C,20.0,0.016683483,1.0215777,1.0216339,32.0776221432748,28.814247,35.020588,13.425758333333215
7,663,80%)-3.6C,21.0,0.017271046,1.0219287,1.0221307,31.69711333016175,29.377438,36.527603,13.342594999999953
7,663,80%)-3.6C,22.0,0.016914686,1.0218481,1.0223149,32.37154349675024,29.477171,36.10218,13.428409999999955
